episode,timestep,reward,cost
983,984000,21.8,-66.5
985,986000,24.5328,-5.5
987,988000,23.55,-44.5
989,990000,24.1152,-20.5
991,992000,23.4575,-45.5
993,994000,23.3292,-53.5
995,996000,23.185,-88.5
997,998000,22.8251,-85.0
999,1000000,21.6278,-48.0
1001,1002000,23.0305,-24.0
1003,1004000,22.4369,-100.0
1005,1006000,21.9137,-124.5
1007,1008000,23.579,-37.0
1009,1010000,21.52,-49.5
1011,1012000,24.0471,-82.0
1013,1014000,23.2432,-48.5
1015,1016000,21.5233,-14.0
1017,1018000,25.0285,-130.5
1019,1020000,22.793,-84.0
1021,1022000,22.0051,-80.0
1023,1024000,23.2912,-24.5
1025,1026000,22.7691,-43.5
1027,1028000,21.9728,-65.5
1029,1030000,23.8015,-33.0
1031,1032000,23.4544,-49.5
1033,1034000,24.985,-10.5
1035,1036000,24.7292,-60.5
1037,1038000,21.7333,-86.0
1039,1040000,24.101,-10.5
1041,1042000,22.8905,-41.0
1043,1044000,23.9656,-74.0
1045,1046000,22.9876,-42.0
1047,1048000,24.7062,-60.0
1049,1050000,22.2402,-120.0
1051,1052000,24.9042,-37.0
1053,1054000,23.1413,-9.5
1055,1056000,23.5397,-49.0
1057,1058000,22.0087,-77.5
1059,1060000,24.2571,-31.5
1061,1062000,24.6201,-36.0
1063,1064000,24.122,-67.5
1065,1066000,24.0733,-23.0
1067,1068000,23.5979,-50.0
1069,1070000,14.1677,-333.0
1071,1072000,25.1749,-59.5
1073,1074000,26.084,-24.5
1075,1076000,23.1837,-49.0
1077,1078000,23.0744,-107.0
1079,1080000,22.9816,-26.5
1081,1082000,21.6109,-15.5
1083,1084000,25.8032,-44.5
1085,1086000,21.0008,-19.0
1087,1088000,24.8323,-36.5
1089,1090000,23.4506,-16.0
1091,1092000,23.5837,-73.0
1093,1094000,23.6215,-66.5
1095,1096000,23.2288,-26.5
1097,1098000,22.3567,-51.5
1099,1100000,24.043,-107.0
1101,1102000,24.3296,-100.0
1103,1104000,20.8075,-35.0
1105,1106000,25.0435,-95.5
1107,1108000,21.1119,-26.0
1109,1110000,23.5394,-58.5
1111,1112000,24.4071,-49.5
1113,1114000,23.4202,-62.5
1115,1116000,23.9207,-37.5
1117,1118000,25.7371,-57.0
1119,1120000,24.4041,-10.5
1121,1122000,25.2989,-24.0
1123,1124000,23.5043,-89.5
1125,1126000,22.9447,-60.0
1127,1128000,20.4875,-84.0
1129,1130000,23.906,-35.5
1131,1132000,23.2676,-67.5
1133,1134000,22.6289,-28.0
1135,1136000,21.3296,-70.0
1137,1138000,24.6952,-47.0
1139,1140000,23.6384,-75.5
1141,1142000,24.9061,-61.0
1143,1144000,22.8996,-23.5
1145,1146000,22.9737,-69.0
1147,1148000,24.14,-52.0
1149,1150000,24.3239,-21.0
1151,1152000,21.9084,-77.5
1153,1154000,25.3246,-99.0
1155,1156000,23.4871,-70.0
1157,1158000,22.7,-91.5
1159,1160000,25.6433,-51.0
1161,1162000,24.8901,-64.0
1163,1164000,22.8768,-94.0
1165,1166000,21.8031,-78.0
1167,1168000,24.298,-81.5
1169,1170000,22.7209,-106.0
1171,1172000,20.9918,-73.5
1173,1174000,22.8581,-142.0
1175,1176000,25.0393,-41.5
1177,1178000,23.3091,-49.0
1179,1180000,23.5056,-19.0
1181,1182000,23.1701,-38.0
1183,1184000,21.9932,-77.5
1185,1186000,22.5253,-50.0
1187,1188000,23.1358,-60.0
1189,1190000,23.4238,-85.5
1191,1192000,25.6366,-10.5
1193,1194000,22.6912,-134.0
1195,1196000,24.0466,-18.0
1197,1198000,24.9988,-23.0
1199,1200000,21.2987,-72.5
1201,1202000,23.4231,-46.5
1203,1204000,22.232,-21.0
1205,1206000,23.0711,-14.5
1207,1208000,25.6443,-92.0
1209,1210000,14.4999,-220.5
1211,1212000,25.056,-35.5
1213,1214000,22.7455,-45.5
1215,1216000,24.5825,-98.0
1217,1218000,22.7796,-40.0
1219,1220000,23.1918,-67.5
1221,1222000,22.4179,-30.5
1223,1224000,23.2506,-36.5
1225,1226000,24.6311,-32.5
1227,1228000,24.0799,-48.0
1229,1230000,24.161,-68.5
1231,1232000,21.3473,-102.0
1233,1234000,22.154,-57.5
1235,1236000,25.9838,-55.0
1237,1238000,24.9909,-19.0
1239,1240000,18.5222,-132.5
1241,1242000,25.3497,-12.0
1243,1244000,23.6249,-109.5
1245,1246000,23.5647,-94.5
1247,1248000,24.0084,-32.0
1249,1250000,22.8712,-65.0
1251,1252000,24.2636,-22.5
1253,1254000,22.7453,-50.0
1255,1256000,21.0608,-15.5
1257,1258000,24.7191,-40.5
1259,1260000,24.0629,-76.5
1261,1262000,23.4759,-42.0
1263,1264000,22.2716,-6.0
1265,1266000,24.4398,-43.0
1267,1268000,24.0659,-42.5
1269,1270000,25.2362,-69.5
1271,1272000,23.3136,-62.0
1273,1274000,22.4389,-89.5
1275,1276000,24.4949,-49.5
1277,1278000,24.1064,-57.5
1279,1280000,22.7196,-34.0
1281,1282000,23.1114,-65.0
1283,1284000,22.8737,-44.5
1285,1286000,25.2396,-30.5
1287,1288000,25.3672,-25.0
1289,1290000,23.0777,-32.5
1291,1292000,23.78,-110.0
1293,1294000,25.3643,-11.0
1295,1296000,22.9647,-77.5
1297,1298000,23.419,-51.0
1299,1300000,24.8085,-53.0
1301,1302000,21.6961,-100.0
1303,1304000,22.4892,-42.0
1305,1306000,23.409,-51.5
1307,1308000,22.2134,-106.5
1309,1310000,20.2745,-121.0
1311,1312000,24.6555,-58.0
1313,1314000,25.6777,-40.0
1315,1316000,23.6928,-69.5
1317,1318000,22.9324,-62.5
1319,1320000,21.0886,-77.5
1321,1322000,24.0859,-56.0
1323,1324000,26.5271,-2.5
1325,1326000,20.5435,-78.5
1327,1328000,25.7223,-63.0
1329,1330000,22.8442,-60.0
1331,1332000,26.3005,-88.0
1333,1334000,22.4179,-94.5
1335,1336000,24.9075,-58.0
1337,1338000,23.6546,-98.5
1339,1340000,24.9807,-40.0
1341,1342000,22.82,-83.5
1343,1344000,25.3562,-19.5
1345,1346000,23.4305,-66.0
1347,1348000,23.9002,-57.0
1349,1350000,23.3218,-48.0
1351,1352000,21.9515,-49.5
1353,1354000,24.2862,-17.5
1355,1356000,24.7218,-61.0
1357,1358000,23.0154,-132.0
1359,1360000,22.3952,-25.5
1361,1362000,25.3898,-61.5
1363,1364000,24.6468,-52.0
1365,1366000,23.4115,-57.5
1367,1368000,24.2449,-93.0
1369,1370000,23.2387,-109.0
1371,1372000,23.7682,-73.5
1373,1374000,25.2041,-77.5
