episode,timestep,reward,cost
901,902000,1.8476,0.0
903,904000,0.6844,-18.5
905,906000,0.0443,0.0
907,908000,4.1199,-46.0
909,910000,0.012,0.0
911,912000,3.248,0.0
913,914000,2.2582,0.0
915,916000,1.2622,-36.5
917,918000,0.8936,0.0
919,920000,2.7366,-50.5
921,922000,0.7052,0.0
923,924000,1.6962,0.0
925,926000,8.3517,-19.5
927,928000,1.07,-10.0
929,930000,1.562,-9.5
931,932000,4.1039,-461.0
933,934000,0.2014,0.0
935,936000,1.6097,0.0
937,938000,0.8531,0.0
939,940000,7.2428,0.0
941,942000,2.6648,0.0
943,944000,2.6029,-81.5
945,946000,-0.6734,0.0
947,948000,6.0454,-7.5
949,950000,0.4592,0.0
951,952000,2.0392,-98.5
953,954000,3.0957,-270.0
955,956000,5.8727,-38.0
957,958000,2.4627,-30.0
959,960000,4.7511,-224.0
961,962000,5.5545,-148.5
963,964000,7.5223,-7.5
965,966000,3.1527,0.0
967,968000,6.155,0.0
969,970000,5.9598,-156.5
971,972000,7.0921,-111.0
973,974000,-0.1586,-54.5
975,976000,5.5673,-13.5
977,978000,3.5144,-71.0
979,980000,7.5153,-82.0
981,982000,5.6097,-23.5
983,984000,7.8217,-27.0
985,986000,9.2088,-18.5
987,988000,0.3693,-25.0
989,990000,6.0572,-17.5
991,992000,2.704,0.0
993,994000,5.3102,-15.0
995,996000,7.5776,-87.0
997,998000,3.2148,0.0
999,1000000,2.2776,-14.0
1001,1002000,3.0514,0.0
1003,1004000,1.443,-11.0
1005,1006000,5.7878,0.0
1007,1008000,4.9233,-15.0
1009,1010000,5.2966,-10.0
1011,1012000,2.8792,0.0
1013,1014000,3.7507,0.0
1015,1016000,0.4291,0.0
1017,1018000,6.682,-54.0
1019,1020000,4.868,-174.0
1021,1022000,2.6084,-134.5
1023,1024000,7.4551,0.0
1025,1026000,0.369,0.0
1027,1028000,6.1619,-106.5
1029,1030000,2.0637,-49.0
1031,1032000,1.4721,-12.0
1033,1034000,3.3625,0.0
1035,1036000,2.9104,-9.0
1037,1038000,1.006,0.0
1039,1040000,3.7609,-138.5
1041,1042000,8.2042,-106.0
1043,1044000,1.036,-20.5
1045,1046000,3.0031,0.0
1047,1048000,6.2148,-5.0
